0,1,2
-80.416287,37.15239,1.0
-80.417677,37.152459,11.0
-80.419983,37.152677,25.0
-80.421506,37.153006,35.0
-80.423317,37.153159,48.0
-80.424103,37.153139,53.0
-80.424243,37.153102,54.0
-80.424373,37.153053,55.0
-80.424499,37.152994,56.0
-80.424628,37.15293,57.0
-80.424908,37.152813,59.0
-80.425061,37.152773,60.0
-80.42522,37.152744,61.0
-80.427611,37.152408,76.0
-80.428784,37.152302,83.0
-80.428939,37.152317,84.0
-80.429086,37.152342,85.0
-80.42946,37.15239,88.0
-80.429569,37.15239,89.0
-80.429671,37.152385,90.0
-80.430978,37.152241,101.0
-80.431082,37.152259,102.0
-80.431168,37.152295,103.0
-80.431241,37.152347,104.0
-80.431302,37.15241,105.0
-80.431359,37.152474,106.0
-80.431482,37.152596,108.0
-80.431553,37.152649,109.0
-80.431631,37.152695,110.0
-80.431718,37.152734,111.0
-80.431812,37.152767,112.0
-80.431906,37.152796,113.0
-80.432134,37.152876,116.0
-80.432177,37.152916,117.0
-80.432205,37.152972,118.0
-80.432211,37.15304,119.0
-80.432201,37.153107,120.0
-80.432173,37.153178,121.0
-80.432126,37.153252,122.0
-80.432069,37.153328,123.0
-80.432008,37.153398,124.0
-80.431945,37.153465,125.0
-80.431729,37.153677,129.0
-80.431718,37.153725,130.0
-80.431738,37.153772,131.0
-80.431777,37.153826,132.0
-80.431837,37.153876,133.0
-80.431909,37.153919,134.0
-80.431981,37.153962,135.0
-80.432937,37.154509,149.0
-80.433628,37.155089,159.0
-80.4337,37.155132,160.0
-80.433778,37.155167,161.0
-80.433862,37.155195,162.0
-80.433948,37.155215,163.0
-80.434035,37.155229,164.0
-80.43412,37.155234,165.0
-80.434203,37.155231,166.0
-80.434282,37.155222,167.0
-80.43435,37.155208,168.0
-80.434407,37.155195,169.0
-80.434571,37.155119,175.0
-80.434583,37.155081,176.0
-80.434584,37.155038,177.0
-80.434579,37.154986,178.0
-80.434569,37.154929,179.0
-80.434558,37.154805,181.0
-80.434553,37.154452,186.0
-80.434537,37.154386,187.0
-80.434512,37.154323,188.0
