0,1,2
37.365226,55.818027,1.0
37.365429,55.818066,31.0
37.365435,55.818092,61.0
37.365434,55.818094,91.0
37.364478,55.818106,121.0
37.362207,55.817538,151.0
37.360463,55.819542,181.0
37.362305,55.823301,211.0
37.363692,55.824805,241.0
37.364445,55.825416,271.0
37.366111,55.826962,301.0
37.367409,55.827847,331.0
37.369973,55.828457,361.0
37.371041,55.828656,391.0
37.372793,55.829122,421.0
37.38061,55.831179,451.0
37.387383,55.831901,481.0
37.387723,55.831733,511.0
37.387977,55.831682,541.0
37.388133,55.831788,571.0
37.388121,55.831728,601.0
37.388068,55.832115,631.0
37.388494,55.832421,661.0
37.388493,55.832421,691.0
37.388495,55.832434,721.0
37.388578,55.832465,751.0
37.388585,55.832461,781.0
37.388584,55.832461,811.0
37.388584,55.832461,841.0
37.388584,55.832461,871.0
37.388583,55.832448,901.0
37.388598,55.832439,931.0
37.388687,55.832461,961.0
37.388686,55.832461,991.0
37.388686,55.832461,1021.0
37.388686,55.832461,1051.0
37.388686,55.832461,1081.0
37.388686,55.832461,1111.0
37.388686,55.832461,1141.0
37.388686,55.832461,1171.0
37.388686,55.832461,1201.0
37.388686,55.832461,1231.0
37.388686,55.832462,1261.0
37.388686,55.832462,1291.0
37.388686,55.832462,1321.0
37.388722,55.832471,1351.0
37.388733,55.832477,1381.0
37.388736,55.832477,1411.0
37.388813,55.832437,1441.0
37.388813,55.832437,1471.0
37.388822,55.832531,1501.0
37.388811,55.832543,1531.0
37.388811,55.832543,1561.0
37.388908,55.83258,1591.0
37.389136,55.832616,1621.0
37.389348,55.832664,1651.0
37.389465,55.832727,1681.0
37.389554,55.832707,1711.0
37.389615,55.832728,1741.0
37.389761,55.832724,1771.0
37.390067,55.832714,1801.0
37.390512,55.832631,1831.0
37.391087,55.832538,1861.0
37.391389,55.832515,1891.0
37.392009,55.832449,1921.0
37.392467,55.832378,1951.0
37.393083,55.832155,1981.0
37.3937,55.831826,2011.0
37.394641,55.831213,2041.0
37.393928,55.828629,2071.0
37.393302,55.826292,2101.0
37.392786,55.823846,2131.0
37.392208,55.821955,2161.0
37.391426,55.819448,2191.0
37.390433,55.816352,2221.0
37.389261,55.813215,2251.0
37.385035,55.812903,2281.0
37.382029,55.811334,2311.0
37.381031,55.809556,2341.0
37.375719,55.810648,2371.0
37.374829,55.807775,2401.0
37.374113,55.804367,2431.0
37.373182,55.802189,2461.0
37.370321,55.798527,2491.0
37.364403,55.79575,2521.0
37.359571,55.794014,2551.0
37.359169,55.792231,2581.0
37.3645,55.791299,2611.0
37.375098,55.789215,2641.0
37.382784,55.787827,2671.0
37.387636,55.786813,2701.0
